TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,WeightKg,BMI,Fat,TotalActiveMinutes,ActivityRatio,VeryActiveRatio,SedentaryPercentage,ActivitySleepRatio,StepsPerActiveMinute,CaloriesPerStep
14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,1.0,361.0,384.0,62.5,24.3899993896484,23.5,324,0.3065279091769158,0.12615384615384614,0.5083333333333333,0.8950276243093923,44.21846153846154,0.13561091010297802
10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,1.0,430.0,449.0,62.5,24.3899993896484,23.5,282,0.2842741935483871,0.13780918727915195,0.49236111111111114,0.654292343387471,35.47349823321555,0.17808764940239044
15355,9.80000019073486,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,1.0,277.0,323.0,62.5,24.3899993896484,23.5,303,0.2710196779964222,0.24013157894736842,0.5652777777777778,1.089928057553957,50.50986842105263,0.1310888252148997
13755,8.78999996185303,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,1.0,245.0,274.0,62.5,24.3899993896484,23.5,333,0.2853470437017995,0.09281437125748503,0.5784722222222223,1.353658536585366,41.18263473053892,0.14321023553358533
18134,12.210000038147,12.210000038147,0.0,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,2159,1.0,433.0,463.0,62.5,24.3899993896484,23.5,332,0.23039555863983344,0.23423423423423423,0.7694444444444445,0.7649769585253456,54.45645645645646,0.11905155776123517
13154,8.52999973297119,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,1.0,366.0,393.0,62.5,24.3899993896484,23.5,265,0.25286259541984735,0.18045112781954886,0.5430555555555555,0.7220708446866485,49.45112781954887,0.1442797415431395
11181,7.15000009536743,7.15000009536743,0.0,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,1837,1.0,341.0,354.0,62.5,24.3899993896484,23.5,271,0.24931002759889603,0.058823529411764705,0.5659722222222222,0.7923976608187134,41.106617647058826,0.1642818815954212
14673,9.25,9.25,0.0,3.55999994277954,1.41999995708466,4.26999998092651,0.0,52,34,217,712,1947,1.0,404.0,425.0,62.5,24.3899993896484,23.5,303,0.29822834645669294,0.17105263157894737,0.49444444444444446,0.7481481481481481,48.266447368421055,0.13268365817091454
10602,6.80999994277954,6.80999994277954,0.0,2.28999996185303,1.60000002384186,2.92000007629395,0.0,33,35,246,730,1820,1.0,369.0,396.0,62.5,24.3899993896484,23.5,314,0.3004784688995215,0.10476190476190476,0.5069444444444444,0.8486486486486486,33.65714285714286,0.17164953315099502
14727,9.71000003814697,9.71000003814697,0.0,3.21000003814697,0.569999992847443,5.92000007629395,0.0,41,15,277,798,2004,1.0,277.0,309.0,52.5999984741211,22.6499996185303,22.0,333,0.2941696113074205,0.12275449101796407,0.5541666666666667,1.1978417266187051,44.09281437125748,0.1360673546985334
15103,9.65999984741211,9.65999984741211,0.0,3.73000001907349,1.04999995231628,4.88000011444092,0.0,50,24,254,816,1990,1.0,273.0,296.0,52.5999984741211,22.6499996185303,23.5,328,0.28646288209606985,0.1519756838905775,0.5666666666666667,1.197080291970803,45.90577507598784,0.1317531779661017
11100,7.15000009536743,7.15000009536743,0.0,2.46000003814697,0.870000004768372,3.8199999332428,0.0,36,22,203,1179,1819,1.0,433.0,463.0,62.5,24.3899993896484,23.5,261,0.18112421929215822,0.13740458015267176,0.81875,0.6013824884792627,42.36641221374046,0.1638591117917305
14070,8.89999961853027,8.89999961853027,0.0,2.92000007629395,1.08000004291534,4.88000011444092,0.0,45,24,250,857,1959,1.0,247.0,264.0,62.5,24.3899993896484,23.5,319,0.27102803738317754,0.140625,0.5951388888888889,1.2862903225806452,43.96875,0.13922251439130126
12159,8.02999973297119,8.02999973297119,0.0,1.97000002861023,0.25,5.80999994277954,0.0,24,6,289,754,1896,1.0,334.0,367.0,62.5,24.3899993896484,23.5,319,0.29702048417132215,0.075,0.5236111111111111,0.9522388059701492,37.996875,0.15592105263157896
11992,7.71000003814697,7.71000003814697,0.0,2.46000003814697,2.11999988555908,3.13000011444092,0.0,37,46,175,833,1821,1.0,331.0,349.0,62.5,24.3899993896484,23.5,258,0.23626373626373626,0.14285714285714285,0.5784722222222223,0.7771084337349398,46.3011583011583,0.15183857250062535
10060,6.57999992370605,6.57999992370605,0.0,3.52999997138977,0.319999992847443,2.73000001907349,0.0,44,8,203,574,1740,1.0,594.0,611.0,62.5,24.3899993896484,23.5,255,0.3072289156626506,0.171875,0.39861111111111114,0.42857142857142855,39.296875,0.17294503528476293
12022,7.71999979019165,7.71999979019165,0.0,3.45000004768372,0.529999971389771,3.74000000953674,0.0,46,11,206,835,1819,1.0,338.0,342.0,62.5,24.3899993896484,23.5,263,0.23930846223839855,0.17424242424242425,0.5798611111111112,0.775811209439528,45.53787878787879,0.1512933544040589
12207,7.76999998092651,7.76999998092651,0.0,3.34999990463257,1.1599999666214,3.25999999046326,0.0,46,31,214,746,1859,1.0,383.0,403.0,62.5,24.3899993896484,23.5,291,0.28034682080924855,0.15753424657534246,0.5180555555555556,0.7578125,41.804794520547944,0.15227719528178243
